Date,Rank,Signal,Zum,Nate,Google
202402112128,1,권성동 클린스만 감독,권성동 클린스만 감독,개혁신당 위성정당 만들지,레버쿠젠
202402112128,2,개혁신당 위성정당 만들지,이천수 부인 코인,복면가왕,지창욱 흡연
202402112128,3,흡연 실내흡연 부적절했다,임영웅,흡연 실내흡연 부적절했다,리버풀
202402112128,4,복면가왕,승리 캄보디아,미운 우리 새끼,PSG
202402112128,5,이천수 부인 코인,이종원 이하늬,이천수,설 특선영화
202402112128,6,레버쿠젠,지창욱 흡연,조국 전 대통령,축구 감독 클린스만
202402112128,7,미운 우리 새끼,트럼프 러시아,박지윤 피해 주장,전희철 감독
202402112128,8,리버풀,김보경 한라 장사,민주 국정농단 기억하라,다이어
202402112128,9,승리 캄보디아,제천 약초,의대 증원 전공의,로또복권 1106회 당첨번호
202402112128,10,조국 전 대통령,대한항공 남자배구,살인자ㅇ난감 측 이재명,카타르 요르단
202402112134,1,권성동 클린스만 감독,권성동 클린스만 감독,개혁신당 위성정당 만들지,레버쿠젠
202402112134,2,개혁신당 위성정당 만들지,이천수 부인 코인,복면가왕,지창욱 흡연
202402112134,3,흡연 실내흡연 부적절했다,임영웅,흡연 실내흡연 부적절했다,리버풀
202402112134,4,복면가왕,이종원 이하늬,미운 우리 새끼,PSG
202402112134,5,이천수 부인 코인,승리 캄보디아,이천수,설 특선영화
202402112134,6,레버쿠젠,지창욱 흡연,조국 전 대통령,축구 감독 클린스만
202402112134,7,미운 우리 새끼,김보경 한라 장사,박지윤 피해 주장,전희철 감독
202402112134,8,리버풀,제천 약초,민주 국정농단 기억하라,다이어
202402112134,9,승리 캄보디아,트럼프 러시아,의대 증원 전공의,로또복권 1106회 당첨번호
202402112134,10,조국 전 대통령,뮌헨 투헬,살인자ㅇ난감 측 이재명,카타르 요르단
202402112152,1,권성동 클린스만 감독,권성동 클린스만 감독,개혁신당 위성정당 만들지,레버쿠젠
202402112152,2,개혁신당 위성정당 만들지,라파 지상전 이스라엘,미운 우리 새끼,지창욱 흡연
